ds,microVolt,is_observed
1998-03-01,69.03,True
1998-06-01,71.27,True
1998-09-01,73.27,True
1998-12-01,76.2,True
1999-03-01,77.57,True
1999-06-01,79.14,True
1999-09-01,81.14,True
1999-12-01,83.14,True
2000-03-01,85.28,True
2000-06-01,86.79,True
2000-09-01,87.49,True
2000-12-01,89.91,True
2001-03-01,90.91,True
2001-06-01,92.8,True
2001-09-01,94.74,True
2001-12-01,96.94,True
2002-03-01,97.98,True
2002-06-01,99.28,True
2002-09-01,,False
2002-12-01,102.29,True
2003-03-01,103.23,True
2003-06-01,104.25,True
2003-09-01,105.25,True
2003-12-01,106.43,True
2004-03-01,107.14,True
2004-06-01,108.0,True
2004-09-01,109.03,True
2004-12-01,110.25,True
2005-03-01,112.82,True
2005-06-01,113.91,True
2005-09-01,115.07,True
2005-12-01,116.35,True
2006-03-01,117.98,True
2006-06-01,118.91,True
2006-09-01,119.19,True
2006-12-01,120.48,True
2007-03-01,121.28,True
2007-06-01,122.68,True
2007-09-01,123.16,True
2007-12-01,124.91,True
2008-03-01,125.81,True
2008-06-01,127.32,True
2008-09-01,128.62,True
2008-12-01,130.1,True
2009-03-01,131.02,True
2009-06-01,131.92,True
2009-09-01,132.76,True
2009-12-01,133.78,True
2010-03-01,,False
2010-06-01,,False
2010-09-01,136.38,True
2010-12-01,136.83,True
2011-03-01,135.97,True
2011-06-01,136.885,True
2011-09-01,139.05,True
2011-12-01,139.48,True
2012-03-01,139.83,True
2012-06-01,140.48,True
2012-09-01,141.48,True
2012-12-01,142.75,True
2013-03-01,143.22,True
2013-06-01,143.42,True
2013-09-01,144.62,True
2013-12-01,145.83,True
2014-03-01,147.03,True
2014-06-01,148.56,True
2014-09-01,149.1,True
2014-12-01,149.18,True
2015-03-01,150.55,True
2015-06-01,150.95,True
2015-09-01,151.35,True
2015-12-01,151.75,True
2016-03-01,152.15,True
2016-06-01,152.74,True
2016-09-01,153.34,True
2016-12-01,153.94,True
2017-03-01,154.53,True
2017-06-01,154.6,True
2017-09-01,155.02,True
2017-12-01,155.45,True
2018-03-01,156.78,True
2018-06-01,155.35,True
2018-09-01,156.1,True
2018-12-01,156.85,True
2019-03-01,159.14,True
2019-06-01,157.33,True
2019-09-01,158.38,True
2019-12-01,159.43,True
2020-03-01,160.48,True
2020-06-01,161.53,True
2020-09-01,162.58,True
2020-12-01,163.03,True
2021-03-01,163.49,True
2021-06-01,164.45,True
2021-09-01,163.76,True
2021-12-01,164.59,True
2022-03-01,165.43,True
2022-06-01,166.26,True
2022-09-01,166.04,True
2022-12-01,166.61,True
2023-03-01,167.17,True
2023-06-01,167.73,True
2023-09-01,168.3,True
2023-12-01,168.86,True
2024-03-01,169.9,True
2024-06-01,,False
2024-09-01,,False
2024-12-01,,False
2025-03-01,171.6,True
